,col1
1477," The Rohillas, as the inhabitants of Rohilakhand were known, suffered heavily at the hands of the other powers in the area, the Jats and the Awadh rulers and, later, the Marathas and the British"
1478," Mohammad Khan Bangash, an Afghan, set up an independent kingdom to the east of Delhi in the area around Farrukhabad, during the reigns of Farrukhsiyar and Muhammad Shah"
1479,  Nature and Limitations of Regional States The independent political systems that emerged in the provinces continued to maintain ties with the Mughal imperial authority and acknowledged the emperor's importance as an umbrella
1480, Even rebel chieftains of the Marathas and Sikhs recognised the Mughal emperor as the supreme authority
1481," The polity that emerged in these states was regional in character, and functional with the collaborative support of the different local groups like the zamindars, merchants, local nobles and chieftains"
1482, The provincial rulers had to take care of these various local interests in order to maintain themselves
1483," Of course, there were exceptions"
1484," for instance, in Mysore, rulers did not recognise the local chieftains"
1485, The regional states had certain limitations
1486," The provincial rulers failed to develop a system based on sound financial, administrative and military organisation"
1487," Though some of them tried to modernise, notably Mysore, on the whole, they were backward in science and technology"
1488, Another drawback was the constant warfare these states had with the neighbouring regional powerswars in which none could ultimately dominate
1489," In fact, these states were strong enough to challenge Mughal power, but none was able to replace it with a stable polity at an allIndia level"
1490,"The jagirdari crisis intensified as income from agriculture declined, and the number of contenders for a share of the surplus multiplied"
1491," Though trade, internal and foreign, continued without disruption and even prospered, the rest of the economy stagnated"
1492,"  SocioEconomic Conditions Eighteenth century India failed to make progress economically, socially or culturally, at an adequate pace"
1493, India became a land of contrasts because extreme poverty and extreme luxury existed side by side
1494," The common populace remained impoverished, backward and oppressed and lived at the bare subsistence level"
1495, the rich and the powerful enjoyed a life of luxury and lavishness
1496," But it is worth noting that the life of the Indian masses was, by and large, better in the 18th century than it was after 100 years of British rule"
1497,"  Agriculture Though agriculture was technically backward, it was worked by the hard labour of peasants"
1498, But this hard working class seldom got the fruits of their labour
1499," Even though the agricultural produce supported the rest of the society, a peasant's own reward was miserably inadequate"
1500," They were forced to pay exorbitant amounts to the state, the zamindars, the jagirdars, and the revenuefarmers"
1501, But this worsened under British rule
1502,"  Trade and Industry On account of being selfsufficient in handicrafts and agricultural products, India did not import foreign goods on a large scale"
1503," On the other hand, its industrial and agricultural products were in good demand in foreign markets"
1504, Hence its exports were more than its imports
1505, trade was balanced by import of silver and gold
1506, India was known as a sink of precious metals
1507,     Views Bear in mind that the commerce of India is the commerce of the world andâ€¦ he who can exclusively command it is the dictator of Europe
1508, Peter the Great India was a far greater industrial and manufacturing nation than any in Europe or any other in Asia
1509," Her textile goodsthe fine products of her looms, in cotton, wool, linen and silkwere famous over the civilised world"
1510, so were her exquisite jewellery and her precious stones cut in every lovely form
1511," so were her pottery, porcelains, ceramics of every kind, quality, color and beautiful shape"
1512," so were her fine works in metaliron, steel, silver and gold"
1513, She had great architectureequal in beauty to any in the world
1514, She had great engineering works
1515," She had great merchants, great businessmen, great bankers and financiers"
1516," Not only was she the greatest shipbuilding nation, but she had great commerce and trade by land and sea which extended to all known civilised countries"
1517, Such was the India which the British found when they came
1518," Sunderland For centuries the handloom weavers of Bengal had produced some of the world's most desirable fabrics, especially the fine muslins, light as'woven air', that were coveted by European dressmakers"
1519," As late as the mideighteenth century, Bengal's textiles were still being exported to Egypt, Turkey and Persia in the West, and to Java, China and Japan in the East, along wellestablished trade routes, as well as to Europe"
1520," Shashi Tharoor, An Era of Darkness  Items of Import From the Persian Gulf Region pearls, raw silk, wool, dates, dried fruits, and rose water,  from Arabiacoffee, gold, drugs, and honey  from Chinatea, sugar, porcelain, and silk  from Africaivory and drugs  from Europe woollen cloth, copper, iron, lead and paper"
